Index	TrueGender	Prediction	PredictedGender	Source
0061-005	F	135	M	original
0061-005	F	135	M	adversarial
0062-005	F	135	M	original
0062-005	F	135	M	adversarial
0063-005	F	135	M	original
0063-005	F	135	M	adversarial
0064-005	F	135	M	original
0064-005	F	135	M	adversarial
0065-005	F	135	M	original
0065-005	F	135	M	adversarial
0066-006	M	149	F	original
0066-006	M	179	F	adversarial
0067-006	M	149	F	original
0067-006	M	162	M	adversarial
0068-006	M	149	F	original
0068-006	M	179	F	adversarial
0069-006	M	131	F	original
0069-006	M	179	F	adversarial
0070-006	M	006	M	original
0070-006	M	104	F	adversarial
0071-006	M	006	M	original
0071-006	M	170	F	adversarial
0072-006	M	006	M	original
0072-006	M	162	M	adversarial
0073-006	M	006	M	original
0073-006	M	179	F	adversarial
0074-006	M	006	M	original
0074-006	M	131	F	adversarial
0075-006	M	149	F	original
0075-006	M	179	F	adversarial
0076-007	M	007	M	original
0076-007	M	007	M	adversarial
0077-007	M	007	M	original
0077-007	M	052	M	adversarial
0078-007	M	007	M	original
0078-007	M	052	M	adversarial
0079-007	M	007	M	original
0079-007	M	052	M	adversarial
0080-007	M	007	M	original
0080-007	M	052	M	adversarial
0081-007	M	007	M	original
0081-007	M	052	M	adversarial
0082-007	M	007	M	original
0082-007	M	052	M	adversarial
0083-007	M	007	M	original
0083-007	M	052	M	adversarial
0084-007	M	007	M	original
0084-007	M	052	M	adversarial
0085-007	M	007	M	original
0085-007	M	023	M	adversarial
0086-007	M	007	M	original
0086-007	M	023	M	adversarial
0087-007	M	007	M	original
0087-007	M	052	M	adversarial
0088-007	M	007	M	original
0088-007	M	056	M	adversarial
0089-008	F	179	F	original
0089-008	F	179	F	adversarial
0090-008	F	008	F	original
0090-008	F	239	M	adversarial
0091-008	F	008	F	original
0091-008	F	239	M	adversarial
0092-008	F	008	F	original
0092-008	F	180	F	adversarial
0093-008	F	008	F	original
0093-008	F	136	F	adversarial
0094-008	F	008	F	original
0094-008	F	183	F	adversarial
0095-008	F	008	F	original
0095-008	F	008	F	adversarial
0096-008	F	008	F	original
0096-008	F	010	F	adversarial
0097-008	F	008	F	original
0097-008	F	239	M	adversarial
0098-008	F	008	F	original
0098-008	F	008	F	adversarial
0099-008	F	130	F	original
0099-008	F	239	M	adversarial
0100-008	F	130	F	original
0100-008	F	010	F	adversarial
0101-008	F	008	F	original
0101-008	F	139	F	adversarial
0102-008	F	008	F	original
0102-008	F	206	F	adversarial
0103-009	F	041	M	original
0103-009	F	007	M	adversarial
0104-009	F	041	M	original
0104-009	F	009	F	adversarial
0105-009	F	041	M	original
0105-009	F	052	M	adversarial
0106-009	F	009	F	original
0106-009	F	009	F	adversarial
0107-009	F	052	M	original
0107-009	F	052	M	adversarial
0108-009	F	007	M	original
0108-009	F	052	M	adversarial
0109-010	F	010	F	original
0109-010	F	052	M	adversarial
0110-010	F	010	F	original
0110-010	F	010	F	adversarial
0111-010	F	010	F	original
0111-010	F	010	F	adversarial
0112-010	F	010	F	original
0112-010	F	010	F	adversarial
0113-010	F	010	F	original
0113-010	F	010	F	adversarial
0114-010	F	010	F	original
0114-010	F	010	F	adversarial
0115-010	F	010	F	original
0115-010	F	010	F	adversarial
0116-010	F	010	F	original
0116-010	F	010	F	adversarial
0117-010	F	010	F	original
0117-010	F	010	F	adversarial
0118-010	F	010	F	original
0118-010	F	010	F	adversarial
0119-010	F	010	F	original
0119-010	F	185	F	adversarial
0120-010	F	010	F	original
0120-010	F	010	F	adversarial
0121-010	F	010	F	original
0121-010	F	139	F	adversarial
0122-011	F	011	F	original
0122-011	F	052	M	adversarial
0123-011	F	011	F	original
0123-011	F	000	F	adversarial
0124-011	F	011	F	original
0124-011	F	052	M	adversarial
0125-011	F	011	F	original
0125-011	F	000	F	adversarial
0126-011	F	011	F	original
0126-011	F	052	M	adversarial
0127-011	F	041	M	original
0127-011	F	052	M	adversarial
0128-011	F	011	F	original
0128-011	F	000	F	adversarial
0129-011	F	011	F	original
0129-011	F	009	F	adversarial
0130-011	F	011	F	original
0130-011	F	123	M	adversarial
0131-011	F	011	F	original
0131-011	F	052	M	adversarial
0132-011	F	011	F	original
0132-011	F	052	M	adversarial
0133-011	F	052	M	original
0133-011	F	052	M	adversarial
0134-012	M	012	M	original
0134-012	M	052	M	adversarial
0135-012	M	012	M	original
0135-012	M	011	F	adversarial
0136-012	M	012	M	original
0136-012	M	000	F	adversarial
0137-012	M	012	M	original
0137-012	M	123	M	adversarial
0138-012	M	012	M	original
0138-012	M	123	M	adversarial
0139-012	M	012	M	original
0139-012	M	041	M	adversarial
0140-012	M	012	M	original
0140-012	M	012	M	adversarial
0141-012	M	012	M	original
0141-012	M	023	M	adversarial
0142-012	M	012	M	original
0142-012	M	000	F	adversarial
0143-012	M	012	M	original
0143-012	M	011	F	adversarial
0144-012	M	012	M	original
0144-012	M	000	F	adversarial
0145-012	M	007	M	original
0145-012	M	007	M	adversarial
0146-012	M	012	M	original
0146-012	M	123	M	adversarial
0147-012	M	012	M	original
0147-012	M	007	M	adversarial
0148-013	F	013	F	original
0148-013	F	239	M	adversarial
0149-013	F	013	F	original
0149-013	F	170	F	adversarial
0150-013	F	013	F	original
0150-013	F	118	M	adversarial
0151-013	F	013	F	original
0151-013	F	013	F	adversarial
0152-013	F	013	F	original
0152-013	F	013	F	adversarial
0153-013	F	013	F	original
0153-013	F	013	F	adversarial
0154-013	F	013	F	original
0154-013	F	055	M	adversarial
0155-013	F	013	F	original
0155-013	F	013	F	adversarial
0156-013	F	013	F	original
0156-013	F	170	F	adversarial
0157-013	F	013	F	original
0157-013	F	013	F	adversarial
0158-013	F	013	F	original
0158-013	F	023	M	adversarial
0159-014	F	008	F	original
0159-014	F	239	M	adversarial
0160-014	F	008	F	original
0160-014	F	206	F	adversarial
0161-014	F	056	M	original
0161-014	F	056	M	adversarial
0162-014	F	008	F	original
0162-014	F	008	F	adversarial
0163-014	F	050	F	original
0163-014	F	062	F	adversarial
0164-014	F	062	F	original
0164-014	F	239	M	adversarial
0165-014	F	008	F	original
0165-014	F	239	M	adversarial
0166-014	F	042	M	original
0166-014	F	042	M	adversarial
0167-014	F	008	F	original
0167-014	F	239	M	adversarial
0168-014	F	050	F	original
0168-014	F	050	F	adversarial
0169-014	F	008	F	original
0169-014	F	206	F	adversarial
0170-015	M	072	F	original
0170-015	M	008	F	adversarial
0171-015	M	015	M	original
0171-015	M	045	M	adversarial
0172-015	M	015	M	original
0172-015	M	045	M	adversarial
0173-015	M	091	M	original
0173-015	M	008	F	adversarial
0174-015	M	015	M	original
0174-015	M	056	M	adversarial
0175-015	M	008	F	original
0175-015	M	056	M	adversarial
0176-015	M	045	M	original
0176-015	M	045	M	adversarial
0177-015	M	072	F	original
0177-015	M	008	F	adversarial
0178-015	M	056	M	original
0178-015	M	056	M	adversarial
0179-015	M	091	M	original
0179-015	M	174	M	adversarial
0180-016	M	016	M	original
0180-016	M	016	M	adversarial
0181-016	M	016	M	original
0181-016	M	016	M	adversarial
0182-016	M	016	M	original
0182-016	M	016	M	adversarial
0183-016	M	016	M	original
0183-016	M	016	M	adversarial
0184-016	M	016	M	original
0184-016	M	016	M	adversarial
0185-016	M	016	M	original
0185-016	M	016	M	adversarial
0186-016	M	016	M	original
0186-016	M	016	M	adversarial
0187-016	M	016	M	original
0187-016	M	016	M	adversarial
0188-016	M	016	M	original
0188-016	M	052	M	adversarial
0189-016	M	052	M	original
0189-016	M	052	M	adversarial
0190-017	F	037	M	original
0190-017	F	039	F	adversarial
0191-017	F	017	F	original
0191-017	F	017	F	adversarial
0192-017	F	017	F	original
0192-017	F	197	M	adversarial
0193-017	F	017	F	original
0193-017	F	017	F	adversarial
0194-017	F	017	F	original
0194-017	F	017	F	adversarial
0195-017	F	017	F	original
0195-017	F	017	F	adversarial
0196-017	F	235	F	original
0196-017	F	235	F	adversarial
0197-017	F	179	F	original
0197-017	F	179	F	adversarial
0198-017	F	179	F	original
0198-017	F	028	F	adversarial
0199-017	F	179	F	original
0199-017	F	139	F	adversarial
0200-017	F	179	F	original
0200-017	F	179	F	adversarial
0201-018	F	078	F	original
0201-018	F	078	F	adversarial
0202-018	F	018	F	original
0202-018	F	090	M	adversarial
0203-018	F	078	F	original
0203-018	F	078	F	adversarial
0204-018	F	078	F	original
0204-018	F	078	F	adversarial
0205-018	F	078	F	original
0205-018	F	078	F	adversarial
0206-018	F	078	F	original
0206-018	F	078	F	adversarial
0207-018	F	008	F	original
0207-018	F	109	M	adversarial
0208-018	F	078	F	original
0208-018	F	078	F	adversarial
0209-018	F	078	F	original
0209-018	F	078	F	adversarial
0210-018	F	018	F	original
0210-018	F	078	F	adversarial
0211-018	F	078	F	original
0211-018	F	078	F	adversarial
0212-018	F	008	F	original
0212-018	F	109	M	adversarial
0213-018	F	008	F	original
0213-018	F	008	F	adversarial
0214-018	F	078	F	original
0214-018	F	078	F	adversarial
0215-019	M	019	M	original
0215-019	M	037	M	adversarial
0216-019	M	019	M	original
0216-019	M	037	M	adversarial
0217-019	M	019	M	original
0217-019	M	000	F	adversarial
0218-019	M	000	F	original
0218-019	M	000	F	adversarial
0219-019	M	019	M	original
0219-019	M	000	F	adversarial
0220-019	M	019	M	original
0220-019	M	037	M	adversarial
0221-019	M	019	M	original
0221-019	M	000	F	adversarial
0222-019	M	019	M	original
0222-019	M	000	F	adversarial
0223-019	M	000	F	original
0223-019	M	000	F	adversarial
0224-019	M	019	M	original
0224-019	M	037	M	adversarial
0225-019	M	011	F	original
0225-019	M	012	M	adversarial
0226-019	M	000	F	original
0226-019	M	000	F	adversarial
0227-020	F	020	F	original
0227-020	F	187	M	adversarial
0228-020	F	230	M	original
0228-020	F	230	M	adversarial
0229-020	F	230	M	original
0229-020	F	230	M	adversarial
0230-020	F	230	M	original
0230-020	F	039	F	adversarial
0231-020	F	230	M	original
0231-020	F	123	M	adversarial
0232-020	F	225	F	original
0232-020	F	176	F	adversarial
0233-020	F	230	M	original
0233-020	F	230	M	adversarial
0234-020	F	230	M	original
0234-020	F	230	M	adversarial
0235-020	F	230	M	original
0235-020	F	230	M	adversarial
0236-020	F	230	M	original
0236-020	F	230	M	adversarial
0237-020	F	230	M	original
0237-020	F	230	M	adversarial
0238-020	F	230	M	original
0238-020	F	230	M	adversarial
0239-020	F	230	M	original
0239-020	F	230	M	adversarial
0240-020	F	230	M	original
0240-020	F	230	M	adversarial
0241-021	F	029	F	original
0241-021	F	012	M	adversarial
0242-021	F	028	F	original
0242-021	F	008	F	adversarial
0243-021	F	021	F	original
0243-021	F	052	M	adversarial
0244-021	F	021	F	original
0244-021	F	052	M	adversarial
0245-021	F	029	F	original
0245-021	F	021	F	adversarial
0246-021	F	021	F	original
0246-021	F	187	M	adversarial
0247-021	F	029	F	original
0247-021	F	021	F	adversarial
0248-021	F	021	F	original
0248-021	F	028	F	adversarial
0249-021	F	194	F	original
0249-021	F	021	F	adversarial
0250-021	F	021	F	original
0250-021	F	021	F	adversarial
0251-022	M	022	M	original
0251-022	M	022	M	adversarial
0252-022	M	022	M	original
0252-022	M	013	F	adversarial
0253-022	M	022	M	original
0253-022	M	039	F	adversarial
0254-022	M	022	M	original
0254-022	M	013	F	adversarial
0255-022	M	022	M	original
0255-022	M	039	F	adversarial
0256-022	M	039	F	original
0256-022	M	039	F	adversarial
0257-022	M	123	M	original
0257-022	M	123	M	adversarial
0258-022	M	022	M	original
0258-022	M	036	F	adversarial
0259-022	M	022	M	original
0259-022	M	013	F	adversarial
0260-022	M	022	M	original
0260-022	M	170	F	adversarial
0261-022	M	022	M	original
0261-022	M	039	F	adversarial
0262-022	M	022	M	original
0262-022	M	013	F	adversarial
0263-023	M	023	M	original
0263-023	M	023	M	adversarial
0264-023	M	023	M	original
0264-023	M	023	M	adversarial
0265-023	M	023	M	original
0265-023	M	023	M	adversarial
0266-023	M	023	M	original
0266-023	M	023	M	adversarial
0267-023	M	023	M	original
0267-023	M	023	M	adversarial
0268-023	M	023	M	original
0268-023	M	206	F	adversarial
0269-023	M	023	M	original
0269-023	M	109	M	adversarial
0270-023	M	023	M	original
0270-023	M	023	M	adversarial
0271-023	M	023	M	original
0271-023	M	028	F	adversarial
0272-023	M	023	M	original
0272-023	M	090	M	adversarial
0273-023	M	023	M	original
0273-023	M	023	M	adversarial
0274-023	M	023	M	original
0274-023	M	023	M	adversarial
0275-023	M	023	M	original
0275-023	M	023	M	adversarial
0276-024	F	024	F	original
0276-024	F	050	F	adversarial
0277-024	F	097	F	original
0277-024	F	097	F	adversarial
0278-024	F	024	F	original
0278-024	F	042	M	adversarial
0279-024	F	024	F	original
0279-024	F	242	M	adversarial
0280-024	F	060	F	original
0280-024	F	060	F	adversarial
0281-024	F	024	F	original
0281-024	F	060	F	adversarial
0282-024	F	060	F	original
0282-024	F	060	F	adversarial
0283-024	F	060	F	original
0283-024	F	174	M	adversarial
0284-024	F	024	F	original
0284-024	F	060	F	adversarial
0285-024	F	060	F	original
0285-024	F	060	F	adversarial
0286-024	F	142	M	original
0286-024	F	174	M	adversarial
0287-025	F	025	F	original
0287-025	F	025	F	adversarial
0288-025	F	025	F	original
0288-025	F	025	F	adversarial
0289-025	F	025	F	original
0289-025	F	025	F	adversarial
0290-025	F	025	F	original
0290-025	F	025	F	adversarial
0291-025	F	025	F	original
0291-025	F	025	F	adversarial
0292-025	F	025	F	original
0292-025	F	025	F	adversarial
0293-025	F	025	F	original
0293-025	F	025	F	adversarial
0294-025	F	025	F	original
0294-025	F	025	F	adversarial
0295-025	F	025	F	original
0295-025	F	025	F	adversarial
0296-025	F	025	F	original
0296-025	F	025	F	adversarial
0297-025	F	025	F	original
0297-025	F	025	F	adversarial
0298-025	F	025	F	original
0298-025	F	025	F	adversarial
0299-026	M	026	M	original
0299-026	M	026	M	adversarial
0300-026	M	026	M	original
0300-026	M	019	M	adversarial
0301-026	M	026	M	original
0301-026	M	078	F	adversarial
0302-026	M	026	M	original
0302-026	M	019	M	adversarial
0303-026	M	026	M	original
0303-026	M	025	F	adversarial
0304-026	M	026	M	original
0304-026	M	095	M	adversarial
0305-026	M	026	M	original
0305-026	M	078	F	adversarial
0306-026	M	026	M	original
0306-026	M	078	F	adversarial
0307-026	M	026	M	original
0307-026	M	026	M	adversarial
0308-026	M	026	M	original
0308-026	M	019	M	adversarial
0309-026	M	026	M	original
0309-026	M	019	M	adversarial
0310-026	M	026	M	original
0310-026	M	025	F	adversarial
0311-027	F	012	M	original
0311-027	F	012	M	adversarial
0312-027	F	027	F	original
0312-027	F	012	M	adversarial
0313-027	F	027	F	original
0313-027	F	012	M	adversarial
0314-027	F	027	F	original
0314-027	F	012	M	adversarial
0315-027	F	027	F	original
0315-027	F	012	M	adversarial
0316-027	F	027	F	original
0316-027	F	012	M	adversarial
0317-027	F	027	F	original
0317-027	F	012	M	adversarial
0318-027	F	000	F	original
0318-027	F	000	F	adversarial
0319-027	F	000	F	original
0319-027	F	000	F	adversarial
0320-027	F	027	F	original
0320-027	F	000	F	adversarial
0321-027	F	027	F	original
0321-027	F	000	F	adversarial
0322-027	F	000	F	original
0322-027	F	000	F	adversarial
0323-028	F	028	F	original
0323-028	F	008	F	adversarial
0324-028	F	028	F	original
0324-028	F	090	M	adversarial
0325-028	F	096	F	original
0325-028	F	008	F	adversarial
0326-028	F	090	M	original
0326-028	F	090	M	adversarial
0327-028	F	008	F	original
0327-028	F	011	F	adversarial
0328-028	F	028	F	original
0328-028	F	023	M	adversarial
0329-028	F	028	F	original
0329-028	F	042	M	adversarial
0330-028	F	028	F	original
0330-028	F	028	F	adversarial
0331-028	F	028	F	original
0331-028	F	052	M	adversarial
0332-028	F	028	F	original
0332-028	F	028	F	adversarial
0333-029	F	029	F	original
0333-029	F	028	F	adversarial
0334-029	F	029	F	original
0334-029	F	028	F	adversarial
0335-029	F	029	F	original
0335-029	F	021	F	adversarial
0336-029	F	029	F	original
0336-029	F	021	F	adversarial
0337-029	F	029	F	original
0337-029	F	021	F	adversarial
0338-029	F	029	F	original
0338-029	F	021	F	adversarial
0339-029	F	029	F	original
0339-029	F	021	F	adversarial
0340-029	F	029	F	original
0340-029	F	021	F	adversarial
0341-029	F	029	F	original
0341-029	F	162	M	adversarial
0342-029	F	029	F	original
0342-029	F	076	M	adversarial
0343-029	F	029	F	original
0343-029	F	076	M	adversarial
0344-029	F	179	F	original
0344-029	F	179	F	adversarial
0345-030	M	090	M	original
0345-030	M	052	M	adversarial
0346-030	M	030	M	original
0346-030	M	206	F	adversarial
0347-030	M	206	F	original
0347-030	M	023	M	adversarial
0348-030	M	030	M	original
0348-030	M	206	F	adversarial
0349-030	M	206	F	original
0349-030	M	023	M	adversarial
0350-030	M	013	F	original
0350-030	M	013	F	adversarial
0351-030	M	013	F	original
0351-030	M	013	F	adversarial
0352-030	M	013	F	original
0352-030	M	013	F	adversarial
0353-030	M	013	F	original
0353-030	M	030	M	adversarial
0354-030	M	030	M	original
0354-030	M	013	F	adversarial
0355-030	M	030	M	original
0355-030	M	030	M	adversarial
0356-030	M	030	M	original
0356-030	M	239	M	adversarial
0357-030	M	090	M	original
0357-030	M	007	M	adversarial
0358-030	M	030	M	original
0358-030	M	030	M	adversarial
0359-031	M	031	M	original
0359-031	M	012	M	adversarial
0360-031	M	031	M	original
0360-031	M	000	F	adversarial
0361-031	M	031	M	original
0361-031	M	023	M	adversarial
0362-031	M	031	M	original
0362-031	M	023	M	adversarial
0363-031	M	031	M	original
0363-031	M	023	M	adversarial
0364-031	M	031	M	original
0364-031	M	012	M	adversarial
0365-031	M	007	M	original
0365-031	M	052	M	adversarial
0366-031	M	031	M	original
0366-031	M	007	M	adversarial
0367-031	M	031	M	original
0367-031	M	023	M	adversarial
0368-031	M	031	M	original
0368-031	M	023	M	adversarial
0369-031	M	031	M	original
0369-031	M	012	M	adversarial
0370-031	M	031	M	original
0370-031	M	009	F	adversarial
0371-031	M	031	M	original
0371-031	M	052	M	adversarial
0372-032	F	032	F	original
0372-032	F	016	M	adversarial
0373-032	F	032	F	original
0373-032	F	016	M	adversarial
0374-032	F	032	F	original
0374-032	F	051	M	adversarial
0375-032	F	032	F	original
0375-032	F	016	M	adversarial
0376-032	F	032	F	original
0376-032	F	169	F	adversarial
0377-032	F	032	F	original
0377-032	F	106	M	adversarial
0378-032	F	032	F	original
0378-032	F	016	M	adversarial
0379-032	F	032	F	original
0379-032	F	106	M	adversarial
0380-032	F	058	F	original
0380-032	F	047	M	adversarial
0381-032	F	032	F	original
0381-032	F	052	M	adversarial
0382-032	F	032	F	original
0382-032	F	000	F	adversarial
0383-032	F	032	F	original
0383-032	F	016	M	adversarial
0384-033	F	041	M	original
0384-033	F	023	M	adversarial
0385-033	F	123	M	original
0385-033	F	012	M	adversarial
0386-033	F	052	M	original
0386-033	F	052	M	adversarial
0387-033	F	123	M	original
0387-033	F	123	M	adversarial
0388-033	F	123	M	original
0388-033	F	016	M	adversarial
0389-033	F	123	M	original
0389-033	F	123	M	adversarial
0390-033	F	033	F	original
0390-033	F	037	M	adversarial
0391-033	F	037	M	original
0391-033	F	012	M	adversarial
0392-033	F	033	F	original
0392-033	F	013	F	adversarial
0393-033	F	033	F	original
0393-033	F	000	F	adversarial
0394-033	F	248	M	original
0394-033	F	248	M	adversarial
0395-033	F	012	M	original
0395-033	F	012	M	adversarial
0396-033	F	033	F	original
0396-033	F	123	M	adversarial
0397-034	M	034	M	original
0397-034	M	239	M	adversarial
0398-034	M	034	M	original
0398-034	M	239	M	adversarial
0399-034	M	239	M	original
0399-034	M	239	M	adversarial
0400-034	M	034	M	original
0400-034	M	239	M	adversarial
0401-034	M	034	M	original
0401-034	M	239	M	adversarial
0402-034	M	034	M	original
0402-034	M	239	M	adversarial
0403-034	M	034	M	original
0403-034	M	239	M	adversarial
0404-034	M	034	M	original
0404-034	M	064	M	adversarial
0405-034	M	239	M	original
0405-034	M	239	M	adversarial
0406-035	M	035	M	original
0406-035	M	169	F	adversarial
0407-035	M	022	M	original
0407-035	M	035	M	adversarial
0408-035	M	035	M	original
0408-035	M	227	F	adversarial
0409-035	M	041	M	original
0409-035	M	169	F	adversarial
0410-035	M	250	F	original
0410-035	M	169	F	adversarial
0411-035	M	022	M	original
0411-035	M	169	F	adversarial
0412-035	M	250	F	original
0412-035	M	035	M	adversarial
0413-035	M	035	M	original
0413-035	M	169	F	adversarial
0414-035	M	227	F	original
0414-035	M	227	F	adversarial
0415-035	M	035	M	original
0415-035	M	169	F	adversarial
0416-035	M	035	M	original
0416-035	M	227	F	adversarial
0417-035	M	227	F	original
0417-035	M	169	F	adversarial
0418-035	M	227	F	original
0418-035	M	227	F	adversarial
0419-036	F	036	F	original
0419-036	F	020	F	adversarial
0420-036	F	036	F	original
0420-036	F	036	F	adversarial
0421-036	F	036	F	original
0421-036	F	151	F	adversarial
0422-036	F	036	F	original
0422-036	F	039	F	adversarial
0423-036	F	036	F	original
0423-036	F	037	M	adversarial
0424-036	F	036	F	original
0424-036	F	036	F	adversarial
0425-036	F	036	F	original
0425-036	F	151	F	adversarial
0426-036	F	036	F	original
0426-036	F	036	F	adversarial
0427-036	F	151	F	original
0427-036	F	022	M	adversarial
0428-036	F	118	M	original
0428-036	F	118	M	adversarial
0429-036	F	118	M	original
0429-036	F	118	M	adversarial
0430-037	M	037	M	original
0430-037	M	000	F	adversarial
0431-037	M	037	M	original
0431-037	M	000	F	adversarial
0432-037	M	037	M	original
0432-037	M	000	F	adversarial
0433-037	M	037	M	original
0433-037	M	000	F	adversarial
0434-037	M	037	M	original
0434-037	M	000	F	adversarial
0435-037	M	037	M	original
0435-037	M	000	F	adversarial
0436-037	M	037	M	original
0436-037	M	000	F	adversarial
0437-037	M	037	M	original
0437-037	M	000	F	adversarial
0438-037	M	037	M	original
0438-037	M	000	F	adversarial
0439-037	M	037	M	original
0439-037	M	000	F	adversarial
0440-037	M	037	M	original
0440-037	M	000	F	adversarial
0441-037	M	037	M	original
0441-037	M	000	F	adversarial
0442-037	M	037	M	original
0442-037	M	000	F	adversarial
0443-038	M	143	F	original
0443-038	M	143	F	adversarial
0444-038	M	187	M	original
0444-038	M	104	F	adversarial
0445-038	M	143	F	original
0445-038	M	164	F	adversarial
0446-038	M	187	M	original
0446-038	M	047	M	adversarial
0447-038	M	187	M	original
0447-038	M	187	M	adversarial
0448-038	M	187	M	original
0448-038	M	123	M	adversarial
0449-039	F	039	F	original
0449-039	F	039	F	adversarial
0450-039	F	039	F	original
0450-039	F	187	M	adversarial
0451-039	F	039	F	original
0451-039	F	183	F	adversarial
0452-039	F	039	F	original
0452-039	F	183	F	adversarial
0453-039	F	123	M	original
0453-039	F	123	M	adversarial
0454-039	F	039	F	original
0454-039	F	000	F	adversarial
0455-039	F	039	F	original
0455-039	F	123	M	adversarial
0456-039	F	039	F	original
0456-039	F	016	M	adversarial
0457-039	F	039	F	original
0457-039	F	039	F	adversarial
0458-039	F	039	F	original
0458-039	F	183	F	adversarial
0459-039	F	039	F	original
0459-039	F	183	F	adversarial
0460-040	F	189	M	original
0460-040	F	189	M	adversarial
0461-040	F	040	F	original
0461-040	F	189	M	adversarial
0462-040	F	040	F	original
0462-040	F	222	F	adversarial
0463-040	F	189	M	original
0463-040	F	189	M	adversarial
0464-040	F	189	M	original
0464-040	F	017	F	adversarial
0465-040	F	189	M	original
0465-040	F	189	M	adversarial
0466-040	F	040	F	original
0466-040	F	042	M	adversarial
0467-040	F	040	F	original
0467-040	F	142	M	adversarial
0468-040	F	189	M	original
0468-040	F	189	M	adversarial
0469-040	F	040	F	original
0469-040	F	189	M	adversarial
0470-040	F	189	M	original
0470-040	F	189	M	adversarial
0471-040	F	006	M	original
0471-040	F	006	M	adversarial
0472-041	M	041	M	original
0472-041	M	012	M	adversarial
0473-041	M	041	M	original
0473-041	M	023	M	adversarial
0474-041	M	041	M	original
0474-041	M	023	M	adversarial
0475-041	M	041	M	original
0475-041	M	123	M	adversarial
0476-041	M	041	M	original
0476-041	M	023	M	adversarial
0477-041	M	041	M	original
0477-041	M	023	M	adversarial
0478-041	M	041	M	original
0478-041	M	023	M	adversarial
0479-041	M	041	M	original
0479-041	M	123	M	adversarial
0480-041	M	041	M	original
0480-041	M	123	M	adversarial
0481-041	M	041	M	original
0481-041	M	023	M	adversarial
